entity_id,state,last_changed
sensor.hapsic_room_average_temp,68.2,2026-02-17T10:04:39.683Z
sensor.hapsic_supply_flow,373.666656494141,2026-02-17T10:04:42.984Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:04:44.664Z
sensor.hapsic_supply_flow,373.777801513672,2026-02-17T10:04:47.981Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:04:49.829Z
sensor.hapsic_cleansed_supply_rh,30.0,2026-02-17T10:04:52.082Z
sensor.hapsic_supply_flow,373.611114501953,2026-02-17T10:04:52.990Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T10:04:57.987Z
sensor.hapsic_room_dew_point,46.81,2026-02-17T10:04:59.684Z
sensor.hapsic_supply_flow,373.25,2026-02-17T10:05:03.002Z
sensor.hapsic_room_average_rh,46.27,2026-02-17T10:05:04.668Z
sensor.hapsic_supply_flow,373.083343505859,2026-02-17T10:05:07.986Z
sensor.hapsic_room_average_rh,46.28,2026-02-17T10:05:09.667Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:05:17.995Z
sensor.hapsic_cleansed_supply_rh,31.0,2026-02-17T10:05:19.089Z
sensor.hapsic_supply_flow,374.166656494141,2026-02-17T10:05:23.002Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:05:24.727Z
sensor.hapsic_supply_flow,374.5,2026-02-17T10:05:27.993Z
sensor.hapsic_supply_flow,374.222198486328,2026-02-17T10:05:33.007Z
sensor.hapsic_cleansed_supply_rh,30.0,2026-02-17T10:05:34.068Z
sensor.hapsic_supply_flow,373.388885498047,2026-02-17T10:05:38.006Z
sensor.hapsic_supply_flow,373.055541992188,2026-02-17T10:05:43.007Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:05:44.692Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:05:48.019Z
sensor.hapsic_cleansed_supply_temp,61.160001373291,2026-02-17T10:05:49.071Z
sensor.hapsic_room_average_rh,46.27,2026-02-17T10:05:49.674Z
sensor.hapsic_room_average_temp,68.3,2026-02-17T10:05:54.670Z
sensor.hapsic_supply_flow,372.333343505859,2026-02-17T10:05:58.020Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T10:05:59.669Z
sensor.hapsic_supply_flow,372.666656494141,2026-02-17T10:06:03.030Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T10:06:08.029Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:06:09.974Z
sensor.hapsic_supply_flow,374.0,2026-02-17T10:06:13.031Z
sensor.hapsic_room_average_temp,68.2,2026-02-17T10:06:14.684Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:06:19.667Z
sensor.hapsic_supply_flow,373.555541992188,2026-02-17T10:06:28.042Z
sensor.hapsic_room_dew_point,46.81,2026-02-17T10:06:29.683Z
sensor.hapsic_supply_flow,373.888885498047,2026-02-17T10:06:33.038Z
sensor.hapsic_room_average_rh,46.28,2026-02-17T10:06:34.668Z
sensor.hapsic_room_average_rh,46.27,2026-02-17T10:06:39.843Z
sensor.hapsic_supply_flow,373.666656494141,2026-02-17T10:06:43.033Z
sensor.hapsic_supply_flow,373.5,2026-02-17T10:06:48.045Z
sensor.hapsic_supply_flow,373.166656494141,2026-02-17T10:06:53.043Z
sensor.hapsic_cleansed_inside_rh,50.0,2026-02-17T10:06:57.061Z
sensor.hapsic_supply_flow,372.833343505859,2026-02-17T10:06:58.045Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T10:07:08.047Z
sensor.hapsic_room_average_rh,46.28,2026-02-17T10:07:09.691Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:07:09.692Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T10:07:13.056Z
sensor.hapsic_supply_flow,373.666656494141,2026-02-17T10:07:18.053Z
sensor.hapsic_supply_flow,373.222198486328,2026-02-17T10:07:23.061Z
sensor.hapsic_room_average_rh,46.29,2026-02-17T10:07:24.677Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:07:24.677Z
sensor.hapsic_supply_flow,372.888885498047,2026-02-17T10:07:28.066Z
sensor.hapsic_supply_flow,373.222198486328,2026-02-17T10:07:38.061Z
sensor.hapsic_room_average_rh,46.28,2026-02-17T10:07:44.681Z
sensor.hapsic_room_average_rh,46.27,2026-02-17T10:07:49.669Z
sensor.hapsic_room_average_temp,68.3,2026-02-17T10:07:49.670Z
sensor.hapsic_supply_flow,372.555541992188,2026-02-17T10:07:53.074Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T10:07:54.882Z
sensor.hapsic_supply_flow,372.722198486328,2026-02-17T10:07:58.079Z
sensor.hapsic_room_average_rh,46.26,2026-02-17T10:07:59.675Z
sensor.hapsic_cleansed_inside_rh,49.0,2026-02-17T10:08:08.073Z
sensor.hapsic_supply_flow,373.111083984375,2026-02-17T10:08:08.088Z
sensor.hapsic_supply_flow,373.888885498047,2026-02-17T10:08:13.081Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:08:14.668Z
sensor.hapsic_supply_flow,373.444427490234,2026-02-17T10:08:18.083Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:08:23.081Z
sensor.hapsic_supply_flow,372.222198486328,2026-02-17T10:08:28.074Z
sensor.hapsic_supply_flow,372.666656494141,2026-02-17T10:08:33.072Z
sensor.hapsic_supply_flow,372.722198486328,2026-02-17T10:08:38.082Z
sensor.hapsic_room_average_rh,46.25,2026-02-17T10:08:39.684Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:08:39.684Z
sensor.hapsic_supply_flow,373.166656494141,2026-02-17T10:08:43.085Z
sensor.hapsic_room_average_rh,46.24,2026-02-17T10:08:44.668Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T10:08:48.090Z
sensor.hapsic_room_dew_point,46.81,2026-02-17T10:08:49.674Z
sensor.hapsic_room_average_temp,68.2,2026-02-17T10:08:49.675Z
sensor.hapsic_room_average_rh,46.23,2026-02-17T10:08:54.676Z
sensor.hapsic_supply_flow,374.055541992188,2026-02-17T10:08:58.096Z
sensor.hapsic_room_dew_point,46.8,2026-02-17T10:08:59.682Z
sensor.hapsic_supply_flow,373.888885498047,2026-02-17T10:09:03.049Z
sensor.hapsic_room_average_rh,46.22,2026-02-17T10:09:04.694Z
sensor.hapsic_supply_flow,373.722198486328,2026-02-17T10:09:08.100Z
sensor.hapsic_room_dew_point,46.79,2026-02-17T10:09:09.673Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:09:13.102Z
sensor.hapsic_room_average_rh,46.21,2026-02-17T10:09:14.667Z
sensor.hapsic_supply_flow,372.277801513672,2026-02-17T10:09:18.095Z
sensor.hapsic_room_dew_point,46.78,2026-02-17T10:09:19.671Z
sensor.hapsic_room_dew_point,46.77,2026-02-17T10:09:24.686Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:09:28.114Z
sensor.hapsic_supply_flow,373.388885498047,2026-02-17T10:09:33.115Z
sensor.hapsic_room_average_rh,46.2,2026-02-17T10:09:34.685Z
sensor.hapsic_room_dew_point,46.76,2026-02-17T10:09:34.685Z
sensor.hapsic_cleansed_supply_temp,61.3400020599365,2026-02-17T10:09:36.057Z
sensor.hapsic_cleansed_supply_temp,61.160001373291,2026-02-17T10:09:37.114Z
sensor.hapsic_supply_flow,373.222198486328,2026-02-17T10:09:38.123Z
sensor.hapsic_supply_flow,373.166656494141,2026-02-17T10:09:43.126Z
sensor.hapsic_cleansed_supply_temp,61.3400020599365,2026-02-17T10:09:44.028Z
sensor.hapsic_room_dew_point,46.77,2026-02-17T10:09:44.695Z
sensor.hapsic_supply_flow,373.111114501953,2026-02-17T10:09:48.132Z
sensor.hapsic_supply_flow,373.277801513672,2026-02-17T10:09:53.116Z
sensor.hapsic_supply_flow,373.611114501953,2026-02-17T10:09:58.123Z
sensor.hapsic_cleansed_inside_temp,66.560001373291,2026-02-17T10:10:02.048Z
sensor.hapsic_cleansed_inside_temp,66.7400020599365,2026-02-17T10:10:04.028Z
sensor.hapsic_supply_flow,373.5,2026-02-17T10:10:14.833Z
sensor.hapsic_room_dew_point,46.76,2026-02-17T10:10:15.491Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T10:10:18.136Z
sensor.hapsic_room_average_rh,46.21,2026-02-17T10:10:19.725Z
sensor.hapsic_supply_flow,372.5,2026-02-17T10:10:23.119Z
sensor.hapsic_cleansed_inside_rh,50.0,2026-02-17T10:10:24.087Z
sensor.hapsic_supply_flow,372.333343505859,2026-02-17T10:10:28.131Z
sensor.hapsic_supply_flow,372.666656494141,2026-02-17T10:10:33.137Z
